pid,captureTime,userName,startInstant,totalCpuDuration,command,parentPid,hasChildren
2188,1717529975.87016,None,1717525702.2825165,0.0,,808,False
2224,1717529975.87016,None,1717525702.3029463,0.53125,,808,False
2324,1717529975.87016,None,1717525702.3339045,8.8125,,808,False
2332,1717529975.87016,None,1717525702.3343992,0.0625,,808,False
2340,1717529975.87016,None,1717525702.335798,0.015625,,808,False
2348,1717529975.87016,None,1717525702.337041,17.71875,,2092,False
2376,1717529975.87016,DESKTOP-JII336K\claud,1717525824.6070347,0.734375,C:\Windows\System32\RuntimeBroker.exe -Embedding,964,False
2436,1717529975.87016,None,1717525702.363656,1.015625,,4,False
2476,1717529975.87016,DESKTOP-JII336K\claud,1717528507.39035,0.375,C:\Users\claud\AppData\Local\Programs\Opera GX\opera.exe --type=renderer --no-appcompat-clear --with-feature:address-bar-dropdown-autocompleted-domains=off --with-feature:address-bar-dropdown-unfiltered-full=off --with-feature:amazon-new-ids=on --with-feature:cashback-assistant=off --with-feature:continue-on-booking=on --with-feature:continue-on-shopping-via-amp=off --with-feature:continue-shopping=on --with-feature:continue-shopping-2=on --with-feature:continue-shopping-5=on --with-feature:continue-shopping-structured-partners=on --with-feature:feature-remote-disable-updates-testing-flag=off --with-feature:feature-remote-updates-testing-flag=on --with-feature:game-servers=off --with-feature:gx-post-mortem=on --with-feature:gx-reactinator=on --with-feature:gx-spotlight=on --with-feature:gx-video-to-phone=on --with-feature:logitech-led-support=on --with-feature:lucid-mode-hide-text=on --with-feature:panic-button=on --with-feature:password-generator=off --with-feature:play-again=on --with-feature:run-at-startup-default=on --with-feature:session-restore-attribution=on --with-feature:side-profiles=on --with-feature:sitecheck-age=on --with-feature:tiktok-panel=on --with-feature:ui-compositor-multithreaded=on --with-feature:installer-experiment-test=off --with-feature:installer-bypass-launcher=off --lang=es --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=44 --time-ticks-at-unix-epoch=-1717525692604091 --launch-time-ticks=2814784645 --field-trial-handle=8720,i,17347984907249469272,7737168308851647375,262144 --variations-seed-version --mojo-platform-channel-handle=8748 /prefetch:1,13680,False
2496,1717529975.87016,None,1717525702.3721652,0.015625,,808,False
2564,1717529975.87016,None,1717525702.396922,1.015625,,808,False
2580,1717529975.87016,None,1717525702.4094408,1.0625,,808,False
2612,1717529975.87016,None,1717525703.78569,1.125,,808,False
2660,1717529975.87016,DESKTOP-JII336K\claud,1717529974.1797948,0.671875,C:\Python312\python.exe processCapture.py,14012,False
2668,1717529975.87016,None,1717525702.501188,0.140625,,808,False
2760,1717529975.87016,DESKTOP-JII336K\claud,1717525705.3926637,2.53125,C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService,808,False
2792,1717529975.87016,DESKTOP-JII336K\claud,1717525734.444292,0.15625,C:\Windows\system32\cmd.exe /C C:\Program Files\AMD\CNext\CNext\AMDRSServ.exe,1848,True
2844,1717529975.87016,None,1717525702.6989543,0.015625,,808,False
2860,1717529975.87016,DESKTOP-JII336K\claud,1717525734.4495652,0.015625,\??\C:\Windows\system32\conhost.exe 0x4,2792,False
2896,1717529975.87016,None,1717525702.750122,1.265625,,808,False
2940,1717529975.87016,None,1717525702.7557423,6.484375,,808,False
2988,1717529975.87016,DESKTOP-JII336K\claud,1717529209.479119,0.078125,C:\Program Files\Mozilla Firefox\firefox.exe -contentproc --channel=2560 -childID 26 -isForBrowser -prefsHandle 4664 -prefMapHandle 7628 -prefsLen 34441 -prefMapSize 252426 -jsInitHandle 1484 -jsInitLen 231800 -parentBuildID 20240526221752 -win32kLockedDown -appDir C:\Program Files\Mozilla Firefox\browser - {4028dee7-07db-483f-aa69-cbec5e887627} 10520 \\.\pipe\gecko-crash-server-pipe.10520 tab,10520,False
2992,1717529975.87016,None,1717525702.7912283,0.734375,,808,False
3032,1717529975.87016,None,1717525702.9726815,0.0,,808,False
3056,1717529975.87016,None,1717525703.7847815,0.015625,,808,False
3088,1717529975.87016,None,1717525703.7823331,0.015625,,808,False
